	id	sentence1	sentence2	similarity
5576	631336c5b8fa6c106f934205e	Venezuela lawmakers brawl amid election tensions	Venezuela lawmakers brawl over election	1.0
5470	06c3de6fa996fc5fe435fb0ae	Turkey president appeals for calm	Texas house provisionally approves abortion law	0.0
3601	40acb44efbc15042742fc387f	the mexican government has adopted a series of measures against drug trafficking and organized crime within mexico since 2006. 	since 2006 mexico has adopted a series of measures against drug trafficking and organized crimes.	1.0
5613	ee0a587d11cc1ad3f7a4d7b25	North Korea says to put US citizen on trial	North Korea says detained American tourist to face trial	1.0
5103	35830f28ff1a2459d1f45d3d8	Rudd sworn in as new Australian PM	Muslims in hiding as sectarian ...	0.0
990	1146ceeddbb7d0b1a86a06b1e	A little girl plays the violin on a beach.	The girl sat on the couch to crochet.	0.0
1651	9f70354dbc7f76a062cf11dbe	Two men are setting up some electronic equpitment	Two dogs are wrestling on the ground in the snow.	0.0
6240	86685cc59175a1dc192ddc0cb	a young boy climbing on a rock wall	Five greyhounds are racing on a sand track.	0.0
6542	069f0412078fa9f9fc6d7aef0	An embolism in a medical context refers to any large moving mass or defect in the blood stream.	Here is an interesting article on wikipedia to give overview of pressure related injuries.	0.0
2960	c2ad2a16e807605c9a6061ba2	The hearing occurred a day after the Pentagon for the first time singled out an officer, Dallager, for not addressing the scandal.	The hearing came one day after the Pentagon for the first time singled out an officer - Dallager - for failing to address the scandal.	1.0
7490	8196a33f1b5c913ac855dba04	A chimp is kicking a target.	A woman is putting oil into a skillet.	0.0
7389	0eab0362e2beb882ad8af8b67	A man plays a guitar.	A man is playing a guitar.	1.0
5751	79f5687baf254f07753c9b313	A man is feeding a mouse to a snake.	The man is feeding a mouse to the snake.	1.0
5628	1b09833d9e988a62950ed7bd1	At least 18 killed in Iraq mosque bombing	More than 60 killed at Iraq funeral	0.0
6423	7c588509cc333b248743ebc16	Since this is a relatively new problem for behavioral researchers, I don't know that there is a common consensus.	I'll address just the first of your three sub-questions, the others have been answered by Chuck Sherrington.	0.0
2367	f7775dcbcecc3d2dcde92ac71	Ha, ha, ha, ha, ha, ha!	Ah ha, ha, ha, ha, ha!	1.0
427	21dd6466424651b28eb7f72c7	Plastic toys are floating in water.	The ladies are performing a dance.	0.0
7480	50ddac8e014521275f0409ae4	A woman is cutting an onion.	A horse is standing.	0.0
4804	e388d4e4cafc42df309798c86	Gunmen ambush police boat in Nigeria oil region	Sudanese police block protest at human rights commission	0.0
1335	3490b95297d713f11ed2af893	A person in a red cap standing next to a brick support beam.	A brown horse is standing on grass and scrub.	0.0
7251	fd679df967223c72382c74131	One woman is measuring another woman's ankle.	A woman measures another woman's ankle.	1.0
1502	5e71c548181c75859c09b7b21	A brown dog digging a hole in front of a plant	A group of people walking on the side of a railroad track.	0.0
1692	1e15ee140f532e070d0172b48	A grey hound is active in a grassy field.	A bunch of bikes racing on a track.	0.0
8569	d2f73d5bc2ed72a52ad297519	Car bomb at Swedish consulate in Libya's Benghazi, no casualties	Car Bomb Hits Swedish Consulate in Benghazi, None Hurt	1.0
1271	2e9398a968197078260fd7411	A mallard and a tame white duck on the grass near water.	A small child in a pink dress sits on a table.	0.0
8057	e8083e9b430ea6125a9af709f	A few more point to think about:	A few things to think about:	1.0
908	3da60e493ffb28c1bb18260f6	A woman is cutting scallions.	A woman falls on a sand castle.	0.0
5430	e5d444f714fe32b822044954d	Iran Nuclear Talks Enter Third Day	Iran nuclear talks enter crucial third day	1.0
7329	62e8c12e3465cb339ac458bba	A man is opening a box and taking out paper.	A woman is peeling a potato.	0.0
4049	fc97d9ab9519db0abc84c377d	Australian among four on plane missing in Indonesia	Iranian painter Mansoureh Hosseini dies	0.0
6683	f7758ff59b2bd807ae6d787c5	"First, we must consider that ""Sphere"" is less Hard SF and more soft SF, thriller, airport novel and such."	"""Fins"" on real spacecraft are usually for one of two purposes: solar panels or thermal radiators."	0.0
5721	38ee79ad0b488c192b8113667	Plane Crash Site Search Called off for the Night	Tour De France Pack Sets off for Stage 15	0.0
452	aa673fbedb20539e1e9518d10	A woman is stirring two eggs in a glass bowl.	A young girl is singing on a stage.	0.0
1703	9bd716cc0df28dfc723e213f3	Three dogs pulling a man on a bicycle through the snow.	The dogs are pulling a man on a type of bike, through the snow.	1.0
6033	fc81490d1bc90c9c884bf4c90	Brown and white ducks walking on green grass.	A red and white plane flying on a sunny day.	0.0
5710	ee801985ab447b0c84aa45952	Kranjcar leaves it late to rescue QPR against Moses-inspired Stoke	Harry Kane leaves it late to rescue a point for Tottenham Hotspur	0.0
6236	7f62e71c99aaaa1cbad391a9e	A skier is jumping in the air over a snowfield near a mountain range.	A woman is sitting near a flower bed overlooking a tunnel.	0.0
417	c0f815bd6129c9307b5262170	A cat is jumping into a box.	A young man is talking to a leaf.	0.0
221	bdf9c9d33b7b1838df02d31f5	A man is swimming.	A woman is slicing meat.	0.0
1169	c63bf395e5f130b079469f8a6	Two red buses driving in front of a garden.	Train pulling into a station.	0.0
5282	0aa52ec6438d9ff3ad20176f2	General Electric posts 9% profit drop for third quarter	GE posts 9% profit drop for third quarter	1.0
998	653b95f1c1c70424a3baebaeb	A man is straining pasta.	A man plays a wooden flute.	0.0
6047	29609c4b530ec6339064857e4	The black bird is sitting on the ground.	The back of a pig under a tree with a cow in the background.	0.0
878	a4326352eaad49691197ac506	People are walking in the garden.	One boy is talking with other man.	0.0
5566	54733e4180cdbe851217cd39f	Russia warns it will respond if interests attacked in Ukraine	Russia warns it will 'respond' if interests in Ukraine attacked	1.0
602	46ac266e814f03386a6a05994	A woman is grating onion.	A woman grates onions.	1.0
7885	42f80162b1cff8a9cd9fd8c81	You can do it, too.	Yes, you can do it.	1.0
4355	96254baf3d68586b39cb325c0	Syria military police chief defects to opposition	Syria military police chief defects to rebels	1.0
5736	bea16e22f4c392a20ccea830f	Two Palestinians die in attacks on Israelis ahead of Kerry visit	Palestinian official slams Israel's stone-throwing bill	0.0
4710	2cb445eaca903f04007d93ea0	China stocks end lower Thursday	China stocks close lower on Thursday	1.0
7227	38012d7ec6f10d1c971acc978	US Supreme Court limits president's recess appointments power	High court checks President's recess appointment power	1.0
6326	474f26d38c6ec2e02ed7ecce7	There are people out on the street.	People are out on the street.	1.0
8087	4421101f613a54d7289e46ee8	You have to decide what you want to get out of this.	You're probably going to have to read various blogs to get all the information you want.	0.0
4934	5c14061ed939cedb39ace63f9	Swiss tourist gang-raped in India	Swiss tourist gang-raped in India	1.0
261	bd5588488dd9afb5fb00cb0ff	A woman is deveining shrimp.	A man is dancing in rain.	0.0
1993	b6d04c4d7032369fa4167c227	A boy skateboards down the metal handrail at night.	A brown dog runs on the sand, holding a stick.	0.0
4009	6c9356dfecf90422ae07acd12	Federer Wins 7th Wimbledon Title	Federer captures 7th Wimbledon title	1.0
219	c6f8b6b2cd8e00689ea0ecdf7	A man is shooting a gun.	A man is spitting.	0.0
1944	43bb1ea193fe5335a11473f58	Scuba diver submerged in water.	The scuba diver is underwater.	1.0
7179	481dcd81f469544b5779fc715	Global progress seen in ending death penalty	Iran diplomat: progress being made in expert-level talks	0.0
1632	3384828c492e54ec4050ab93b	Two men on the side of a barge	A man is lying the grass with long hair and beard.	0.0
988	981c0fec85fa46c2fc77b7c63	A man is opening a package containing headphones.	A woman is riding a horse.	0.0
2047	98cbb41961d8a32e4423eb026	I'm not outraged, I'm disappointed.	God bless I'm not outraged, I'm disappointed.	1.0
753	fb50affc979f5a61db4ed84f5	A man is playing guitar.	A woman is peeling a tuber.	0.0
7982	69b6033f8ccd100fcdab4770e	It's all in her head.	It's all about adhesion.	0.0
3476	ff1a7886ec595eed01380703d	myanmar was formerly known as burma. 	myanmar was formerly called burma.	1.0
453	403c83eb23c3dc1e77ffccf25	The man is playing the drums.	A man pours cleaner in his sink.	0.0
130	ca603b0bb1b85edf8782c372b	A man is climbing a rope.	A man climbs up a rope.	1.0
6176	113ce9480d5319714fc6e907b	A black dog walking beside a pool.	A black dog is walking along the side of a pool.	1.0
4735	24095788ffe49ae83d23ed070	US releases initial report on fracking impacts on water	Men in China detained after taking girls to hotel	0.0
5762	ee8f94208c4300b77e16f6308	The man cut down a tree with an axe.	A man chops down a tree with an axe.	1.0
2254	89a28ab7425df839ea4365297	I think you need to reread what I wrote.	You need to reread what I wrote.	1.0
5086	799a22f79f76c149dd4eeed35	Cuba's 'Ladies' to pick up EU prize 8 years late	Cuba's 'Ladies' to Pick Up EU Prize 8 Years Later	1.0
6068	026b1f9bebb0197cc12700f4c	The white ducks are standing on the ground.	A woman in a black hat is standing by the subway.	0.0
149	ecd8a80ad6e174a23f17e61e9	A man plays the flute.	A man is playing a flute.	1.0
7349	65aea2ab455ddf3fa4b6bdb3d	A cat is walking around a house.	A woman is peeling potato.	0.0
755	785235c4a0a518e89ac180b81	A woman is riding a horse.	A man is running on rope.	0.0
5802	7b065e1552c7810dc41c20779	A woman puts flour on a piece of meat.	A woman is putting flour onto some meat.	1.0
6751	71d0b85c85dc5eb3cf5d4a926	He later learned that the incident was caused by the Concorde's sonic boom.	He later found out the alarming incident had been caused by Concorde's powerful sonic boom.	1.0
5144	92db04864fe2cc122e97fb56f	Bradley Manning-WikiLeaks case turns to sentencing	Manning WikiLeaks case turns to sentencing phase	1.0
8088	126498945ac93ce80647f17d5	I had the same problem as you.	I have exactly the same problem.	1.0
5867	daf095b5234acf0746f412838	A girl is dancing in a cage.	A onion is being chopped.	0.0
297	4971a925deb8fd316993f1d68	A woman is cutting a cucumber.	A man is playing a guitar.	0.0
7913	be25e4ed5055014b3069a4a3b	It's not a good idea.	It is not a good idea.	1.0
7976	23762217ad6f9cd126927eabc	You answered your own question.	You've answered your own question already.	1.0
6059	53071d6f0be253a19d2e0829b	A group of peoples posing in fur hats.	A group of cyclists in green and white with spectators looking on.	0.0
5229	6e7597ceb68a3ebe62b81744b	Chinese premier meets Indian vice president	Hezbollah urges to elect new Lebanese president	0.0
4360	7de2c4591ac425ad6de0bb254	Swiss tourist 'gang-raped' in India	Swiss tourist gang raped in India, say police	1.0
6203	5ac6df47870ccf1eaae5d2131	A man in a grey suit kneels in front of a woman in a white dress.	A woman in red with a beer followed by a man in white.	0.0
4771	4959d4d9155e0704d916682dc	Miss New York wins Miss America crown	Miss New York is crowned Miss America	1.0
7086	d26e57c4903392334fe6f56be	De Blasio sworn in as New York mayor, succeeding Bloomberg	Bill De Blasio sworn in as New York mayor, succeeding Michael Bloomberg	1.0
751	39a1ba33bbf798122864eb705	A man is dancing.	A rat is running.	0.0
8623	ef81b733f17798e3132ded245	Philippines, Canada pledge to further boost relations	Philippines saves 100 after ferry sinks	0.0
585	c3e7fb090b3ffa67cdc9f8505	Two robots kiss.	Two robots are kissing.	1.0
1220	551f2fb6c301886d5c288312c	Two dogs in a fenced kennel look ahead.	Two woman pose in a dining room with a baby.	0.0
973	c53f2f47e93ee943b03db5ef6	The man is using a sledghammer to break the concrete block that is on the other man.	A man breaks a slab of concrete that is lying on a prone man with a sledge hammer.	1.0
8267	a4c2d3e8887f68d0d644438e0	The Bush administration blames Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops for the wave of bombings and guerrilla attacks.	The Bush administration blames the wave of bombings and guerrilla attacks on Saddam loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops.	1.0
6707	28dad792b18f2333b4800932c	Red ball under yellow floodlight takes on a brownish color which is very similar to the color of the pitch.	I am too a hobby swimmer but as part of my triathlon training.	0.0
3573	d1235172015e7aabc187775c0	the matter is delicate. 	the iaea report is restricted.	0.0
1077	b1cb018e8b5234245be46831b	A black dog stands next to materials at a construction site.	An Asian toddler girl sits next to a pot of flowers on a marble post.	0.0
3678	3a951e6b01b7ad4cf8c9e7412	it will be hosted by the australian government. 	the u.s. plans have angered the russian government.	0.0
361	199817add23008948f662d808	A man is doing push-ups.	A woman is cutting some octopus.	0.0
7456	f0f2bbe24d53a35b7f207123c	A man is playing the drums.	A woman is slicing some leaves.	0.0
5670	300827f90bbee487787aabd64	Hawaii preps for first hurricane in 22 years	Hawaii bracing as first hurricane in 22 years approaches	1.0
5726	b6b0c0f99565243fac3d85d6f	Obama calls for international front against IS	Obama vows to save Iraqis stranded on mountain	0.0
4831	f4c40d4b14d2c57361edf8a18	Women to face higher car insurance premiums	Women drivers to face insurance premium rise	1.0
7309	4635ad1d82372108ebb4d0aaa	The man is kissing and hugging the woman.	A man is hugging and kissing a woman.	1.0
5722	dceff08c012dde60341022518	Obama queries Turnbull over China port deal	Spanish bulls gore seven to death	0.0
943	8e0bdc47dfd6da9bcc6269c3c	The man talked on the telephone.	Girls are walking on the stage.	0.0
1904	cb21eec233d43264c108fa094	Two girls on the shore watch people in a boat fish.	Two males, one in red and one in white playing a basketball game.	0.0
5509	255f7e9a5c6efc3649c2a89ee	Italian fugitive arrested in Dominican Republic	Australian icebreaker arrives in East Antarctica for new rescue bid	0.0
7498	71e796c3ee746c6f09db61d56	A man is reading an email.	A person opening a banana.	0.0
1961	dcbfcfe64f1668d44596f920a	A man blowing a large bubble.	A man walking a large black horse.	0.0
5991	a6356c1a4b593a533de4ddbbb	A cat is playing with a watermelon on a floor.	A man is pouring oil into a pan.	0.0
315	e83d8225475afd878b171f604	A woman is frying something in the pan.	A man is playing his guitar.	0.0
890	e4fcac362b4d21e64156252cf	A young woman is playing the flute.	A woman is washing off the top of a freezer.	0.0
849	d8422334f196b7f366ea39d46	A woman is riding an elephant.	A man is lifting himself.	0.0
894	4e092ee432ad1e336495dc0c7	A person is slicing an onion.	A solenodon is walking along the ground.	0.0
8117	828916b310140b0faa8a56882	You shouldn't feel any obligation at all.	You don't need sauce at all.	0.0
5995	6bcc0f2b8c5fb5bd2237d037b	A man is passionately playing a guitar in front of an audience.	A woman is peeling a potato.	0.0
5424	25d536eb435781b0e5baf6132	Air strikes kills dozens in northern Syria	Ukraine will not give 'an inch' over Crimea	0.0
3645	07f8dd117723b4e1251524bfe	the iaea report is restricted. 	the killers escaped.	0.0
7969	6bf3b0d8e3e443a6408f27481	I think it's fine to ask this question.	I think it is okay to ask the question.	1.0
1205	4f4084a37e8188356c7b6bf3e	An airplane facing the camera.	A lone cow sits in the cold of the yard.	0.0
5583	61dd132d749745f5045059d72	Iran Nuclear Talks Enter Third Day	Iran nuclear talks enter crucial third day	1.0
7923	c0b828ef53623e01926cb2ca3	I've had this same problem.	I had this same problem.	1.0
3230	8ffbd1fca91fe166a8fdf9df7	Wells’ other series include NBC’s ER and Third Watch.	"Wells' other series include NBC's ""ER"" and ""Third Watch."""	1.0
6337	e36cfc385041db812a1e1d12b	People are near water	People are near water.	1.0
514	627f1bbca7d59306286f0fba0	A man is playing a keyboard.	A man plays a keyboard.	1.0
8401	16e2b6dc280f6af2b06819085	Gu Kailai murder trial ends in China	Gu Kailai's Murder Trial Ends in China	1.0
1185	3d1c445415c9db8bee94c29c0	Two brown horses standing in grassy field.	Two men sailing in a small sailboat.	0.0
1263	9cdf1a139fc44613d467ee271	A black table with white fuzzy chair.	A woman with her child.	0.0
333	4cc2641583bc93b76ef69e889	A person is riding a horse.	A woman is slicing potatoes.	0.0
6848	688905880a4a85f76e1c8991a	EU ministers were invited to the conference but canceled because the union is closing talks on agricultural reform, said Gerry Kiely, a EU agriculture representative in Washington.	Gerry Kiely, a EU agriculture representative in Washington, said EU ministers were invited but canceled because the union is closing talks on agricultural reform.	1.0
5662	78c355bc96e59e9ae406161cd	US Attorney General Holder resigns	Attorney General Eric Holder to Resign	1.0
1317	11f0258f4c4ad15ee4c6ef0be	Two women in the kitchen looking at a object.	Three men in suits sitting at a table.	0.0
5284	76fbff944bca5c0a0b453e976	Russia finds dead lawyer Magnitsky guilty in posthumous trial	Russia convicts dead lawyer Magnitsky in posthumous trial	1.0
435	73aed9f13ae812573927f9e6d	A woman is mincing some garlic.	A person is cleaning a disk.	0.0
4521	d55c141b92d1e3c96eff89ee5	Macau Gambling Revenue Hits Record $38 bn in 2012	Macau gambling revenue hits record US$38b in 2012	1.0
8110	7b051b7866a3fce8dca631372	This is not a good idea.	Not a good idea.	1.0
7321	87ae62a2670704549abb623bb	A woman opens a window.	A man is crawling.	0.0
8054	57df3be140995c9a70e7c1d35	What are your goals?	What are you goals?	1.0
4798	a09a449c23c4d199af94812ac	Kerry: $4b Palestinian Economic Plan Could Work	Kerry: No deal yet in nuclear talks with Iran	0.0
4075	e607cf26e0f7929adb3f7cffa	String of Iraq blasts kills at least 32	Strong Italy Quake Kills at Least Six	0.0
1389	9e8e5bb494815e6438b187142	the back of a stop sign with many stickers on it.	The back of the stop sign is adorned with stickers.	1.0
5515	7d17f4b41a6ba9c9b4aadc374	5 Things to Know About the Sochi Olympics	7 Things to Know About Ethanol	0.0
2613	aba0b1fc595751be3922e735d	The operating revenues were $1.45 billion, an increase over last year's result of $1.38 billion.	Operating revenues rose to $1.45 billion from $1.38 billion last year.	1.0
5080	05e7a29d525c88f4a210f97d0	Iran dissidents 'killed in Iraq'	France loses influence in Europe	0.0
5607	de9d19a198c0cdd583777fcf2	German ambassador's Athens residence shot at	Shots fired at German ambassador's residence in Athens	1.0
6505	928f73e15465f4106b5c1ed01	"""What I am really looking for is an estimation of the Muslim population..."" @ThanosK and @T.E.D., an overall, general population estimation f.e."	The following is taken from my dog-eared copy of the New Penguin Atlas of Medieval History.	0.0
8060	c2d478782bf476a290137acc3	It is more deciding what you should do and what you should get others to do.	Point is: know what you want and don't be afraid to ask for it.	0.0
501	d23974b881cf1f5c6f9e78171	A woman is cutting an onion.	A woman is cutting through an onion.	1.0
6506	38c5393c389f18f18bec67745	In Hinduism and Buddhism there is message of peace and an encouragement to not be materialistic.	"This relates to the ""discovery"" of Asian, and other non-European cultures by Americans."	0.0
7701	aea8186a9b27d85d7a91e59f4	Many football players sitting on the ground.	A dog rolls on the ground.	0.0
1693	80eb19729ece6154b66826f95	Two people are racing a sidecar motorcycle in the mud.	The dog carrying a long stick in its mouth.	0.0
6746	3a5c30f5c72124bfb96f7320e	Keep in mind that you can easily swear without swearing.	I think Stephen King's comments are helpful in this regard.	0.0
7694	1725e03c1dcce17960c77c34e	A brown and white dog is running across a brown field.	A person hanging from a rocky cliff.	0.0
8102	654435fc9e2efdb8f2b991519	So think it in this way.	Think of it this way.	1.0
5500	0a97594ca0e2feef3e6ff278e	Ukraine leader pledges crisis talks	Ukraine Leader Pledges Crisis Talks	1.0
577	8c0a26f81ee57f5f83eae7f0f	A car is parking.	A cat is playing.	0.0
5315	0d1b88bacbf4a418069191bd5	Mumbai Indians puts T&T in its place	Indonesians vote for president in tight race	0.0
8024	531321c3f381c7c7788433e4d	There are a few things you can do: 	There are a couple things you can try.	1.0
909	b0132fdbad591544d9f144e09	A man is slam dunking a ball.	A woman is slicing some onions.	0.0
7941	2d65a9452bade5b94d6428d51	You answered your own question.	You have answered your own question.	1.0
627	8aaba1da53a6b9ac9a2f356b4	A man is playing a piano.	A woman is peeling a potato.	0.0
1991	c187f2426458b7ccc922655f3	A group of people in boats racing towards the shore.	A classroom of students watching a presentation.	0.0
4298	cb0f1444360775dd43ff25995	Japan PM dissolves lower house for election	Iran and world powers set for nuclear talks	0.0
6156	eba7dcf0746893efaed36d70e	Two little girls in pink are dancing.	Two ladies jogging on a path near the waterfront.	0.0
7310	d62c22e91b3b659888e705c09	A train is moving.	A man is doing yoga.	0.0
8288	ac9131496493bced4d58c68fd	In that case, the court held that Cincinnati had violated the First Amendment in banning only the advertising pamphlets in the interest of aesthetics.	In that case, the court held that the city of Cincinnati had violated the First Amendment in banning, in the interest of aesthetics, only the advertising pamphlets.	1.0
365	cc4d1c776efec048f278a64de	A woman is peeling a potato.	A lion is walking around.	0.0
6608	b22c5cafe3aa1092d82abb3ff	The question of time is an incredibly difficult one, which has been treated of philosophers from Aristotle to Heidegger.	wikipedia, as much as it is a supposedly self correcting medium, is not necessarily a definitive account of anything.	0.0
6186	9a743660889162887ebede1b7	A black dog lays in the sand.	Kids play in the water	0.0
7155	30730df2200c57587afcb819e	Matt Smith quits BBC‚Äôs Doctor Who	Matt Smith quits BBC's Doctor Who	1.0
1192	08ba9c4d2c8ed5d151ad9f1b4	The black and white cows pause in front of the gate.	The white airplane is flying in the sky.	0.0
3778	044ccf40bde302a0a15f66286	Romney announces Paul Ryan as running mate	Romney names Ryan as running mate	1.0
8599	b1bd895e2651561ce51f4755b	Russian opposition leader under house arrest	Russian Opposition Leader Placed Under House Arrest	1.0
362	d22543c5b068c5003696c2c88	A man is playing guitar.	A woman is slicing up some pork.	0.0
1683	ec1a0c34537e1066c98efa96f	Five men in tuxedos are walking down steps.	Five men in tuxedos walk down a set of steps	1.0
1663	222e68437c1cd5738cae7c85a	A young boy in a white dress shirt is playing on a grassy plain.	A woman is getting her hair done at a salon.	0.0
5735	6803fa2014febe12425f83640	Taiwan's president charters plane to pay respects to Lee	Poland president loses to challenger	0.0
5745	e64b6baccbaca0f24b9c69c3f	Dozens of Egyptians hostages taken by Libyan terrorists as revenge for airstrikes	Egyptian boat crash death toll rises as more bodies found in Nile	0.0
928	3e5abed52f3dc7baac2a112be	A monkey is walking through the water.	A guy is playing a trumpet.	0.0
5110	8e552775fff7d57e1edffd6e7	Egypt's opposition criticizes president's speech	Pakistan's opposition party boycotts presidential elections	0.0
352	bd001d074bcc0ed6e705d7fe1	A woman peels an apple.	A man pops wheelies on a motorcycle.	0.0
5540	4fa6f6987f1f71a0db1053135	UN Invites Iran to Syrian Peace Conference	UN: Iran Invited to Attend Syrian Peace Conference	1.0
6115	ff9bfbb5e5744550a96d1c138	A man sitting on a bench looking at a dog on a leash sitting on sidewalk.	A women holds a small baby while sitting on a sofa.	0.0
1269	8e3f5af9429046fb255c8717e	A young boy coloring with a red and blue crayon.	A young blonde girl in riding gear sits on top of a gray and white horse.	0.0
7825	d5d2075cca2288daa732f4077	people getting their dirty clothes cleaned	People are getting their clothes cleaned.	1.0
7711	0e7660eba891c22b96384e247	A young pitcher is throwing the baseball.	A brown dog is walking on the grass beside a fence.	0.0
1147	6373f0cf33755c055483ac53c	A passenger train coming into a station.	A large bird is flying through the air.	0.0
2053	848cf09226547dc86ca069ef5	It depends how you define extreme.	"Depends on how you define ""extreme""."	1.0
5587	9cdc31332cf3eae98cfec0adf	Over 100 dead as typhoon slams central Philippines	At least 100 dead as typhoon batters Philippines	1.0
6273	0e435b9365b8342855d83dc2b	A blonde woman looks for medical supplies for work in a suitcase.	The blond woman is searching for medical supplies in a suitcase.	1.0
2754	60beeec0f2086531898358ce4	The island nation reported 65 new cases on May 22, a one day record, and 55 new cases on May 23, making Taiwan's epidemic the fastest-growing in the world.	Taiwan reported 65 new cases on May 22, a one-day record, and 55 new cases on May 23, making its epidemic the world's fastest-growing.	1.0
5577	a2d3d37a04dcddb518e3e8b44	North Korea Warns Foreigners in South, Advising Evacuation	North Korea warns foreigners in South to evacuate	1.0
6738	dce67372dea74e478759b07e4	No, you don't need to have taken classes or earned a degree in your area.	I have done quite a bit of technical writing for healthcare information systems.	0.0
2532	5709fab6dd9b8476ec7c45907	But software license revenues, a measure financial analysts watch closely, decreased 21 percent to $107.6 million.	License sales, a key measure of demand, fell 21 percent to $107.6 million.	1.0
5309	b8056014c04d86d8129856985	Washington Pot Shops Prepare for Historic Sales	Washington pot shops prepare for historic sales	1.0
